,OrderNumber,UseType,FacilityID,FacilityLongitude,FacilityLatitude,CustomerZIP,TotalPaid,StartDate,EndDate,NumberOfPeople,Tent,Popup,Trailer,RVMotorhome,Boat,Car,FifthWheel,Van,CanoeKayak,BoatTrailer,PowerBoat,PickupCamper,LargeTentOver9x12,SmallTent,CustomerLatitude,CustomerLongitude,LengthOfStay
435,11-5335098,Overnight,232496,-116.868,36.4631,90712,36.0,2007-01-26,2007-01-28,1,,,,,,1.0,,,,,,,,,33.84,-118.15,2
436,11-5336116,Overnight,232472,-116.156,34.12,92313,40.0,2007-01-26,2007-01-28,20,,,,,,1.0,,,,,,,,,34.03,-117.31,2
437,11-5336126,Overnight,232472,-116.156,34.12,92313,40.0,2007-01-26,2007-01-28,20,,,,,,1.0,,,,,,,,,34.03,-117.31,2
438,11-5341907,Overnight,232495,-80.9417,25.1386,25411,48.0,2007-02-03,2007-02-06,2,,,,,,1.0,,,,,,,,,39.5,-78.2,3
439,11-5343347,Overnight,232495,-80.9417,25.1386,19606,16.0,2007-01-29,2007-01-31,2,,,,,,1.0,,,,,,,,,40.33,-75.86,2
440,11-5344184,Overnight,232496,-116.868,36.4631,87122,54.0,2007-02-01,2007-02-04,2,,,,,,1.0,,,,,,,,,35.2,-106.5,3
441,11-5344900,Overnight,232495,-80.9417,25.1386,J0E,48.0,2007-01-22,2007-01-25,2,,,,,,1.0,,,,,,,,,,,3
442,11-5354071,Overnight,232472,-116.156,34.12,91387,20.0,2007-01-27,2007-01-31,2,,,,,,1.0,,,,,,,,,34.41,-118.4,4
443,11-5357921,Overnight,232472,-116.156,34.12,91701,40.0,2007-01-26,2007-01-28,20,,,,,,1.0,,,,,,,,,34.15,-117.59,2
444,11-5360108,Overnight,232495,-80.9417,25.1386,60451,112.0,2007-02-03,2007-02-17,2,,,,,,1.0,,,,,,,,,41.51,-87.96,14
445,11-5371231,Overnight,232495,-80.9417,25.1386,55113,16.0,2007-01-25,2007-01-27,2,,,,,,1.0,,,,,,,,,45.01,-93.16,2
446,11-5372816,Overnight,232496,-116.868,36.4631,95947,54.0,2007-01-25,2007-01-31,1,,,,,,1.0,,,,,,,,,40.2,-120.9,6
